id,section,bundle_version,serial,branch,number,rarity,round,level,type,feature,battle_power_1,battle_power_2,battle_power_3,battle_power_4,battle_power_ex,publication_year,name,ruby,character_name,effect,flavor_text,participating_works,participating_works_url,errata_enable,errata_url,type_name,illustrator_name,image_url,thumbnail_image_url
850,BP,05,068,AP16,AP(16/20)BP05-068,AP,,2,SPEED,Ultra Hero,7000,9000,14000,,,2022,Ultraman Decker,-,DECKER,"[SIN][DBL]《When this character enters play》You may reveal the top five cards of your deck, to put one scene card from among them into your hand. Then, send the rest to your discard area.","With the electricity it had fed upon drained by Decker, Elly returned to a harmless size, rendering it no longer a threat.",ULTRAMAN DECKER,,False,,Miracle Type,SOWSOW,https://img.ultraman-cardgame.com/images/card_details/00112b526c355d231662f2eff0e22b0cadcf2797.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/9f8f92bd7921e82601f74ea58f6bc65b2bd2a90f.webp
851,BP,05,069,,BP05-069,U,,2,POWER,Ultra Hero,7000,9000,13000,,,2022,Ultraman Decker,-,DECKER,[SIN]《When this character enters play》You may give one of your Ultra Hero with TYPE 【POWER】 +1000 BP for this turn.,"Even when Gomora was possessed by the Sphere, Decker's Strong Type was enough to overpower it!",ULTRAMAN DECKER,,False,,Strong Type,,https://img.ultraman-cardgame.com/images/card_details/c6feda93926b68a72a6155c3b669c9cd5ff41de1.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/0045692a9e6cd809eaa2d9f4155172fb366f28d0.webp
852,BP,05,070,,BP05-070,C,,2,BASIC,Ultra Hero,6000,9000,,,,2022,Ultraman Decker,-,DECKER,[SIN][DBL]《When this character enters play》You may give one of your characters TYPE 【POWER】 for this turn.,Decker's Slicer Shot fires blades of energy at his opponent at high speeds!,ULTRAMAN DECKER,,False,,Slicer Shot,,https://img.ultraman-cardgame.com/images/card_details/8a6257163ecbf87ca2d66e5dc005c51b9ca2a93a.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/e8971c71a7bb42f3ad28862921bc495695408d38.webp
853,BP,05,071,,BP05-071,RRR,,3,ARMED,Ultra Hero,7000,13000,16000,,,2022,Ultraman Decker,-,DECKER,"[DBL][TRP][Activate](Once per turn)No cost → Give one of your TRIPLE Ultra Hero +1000 BP for this turn for each character you have with 「Flash Type」, 「Strong Type」, 「Miracle Type」, or 「Dynamic Type」.","Decker swung the blade downwards, cutting at the Terraphaser's hull and Agams's pain at the same time.",ULTRAMAN DECKER,,False,,Ultra Dual Sword,Anderson,https://img.ultraman-cardgame.com/images/card_details/db60171764c418dbaef4c92f2ac5259bc92aabee.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/cbcec50f8b5fb75b40ec53d6dd3b5291d84cd3fa.webp
854,BP,05,071,SP04,SP(04/05)BP05-071,SP,,3,ARMED,Ultra Hero,7000,13000,16000,,,2022,Ultraman Decker,-,DECKER,"[DBL][TRP][Activate](Once per turn)No cost → Give one of your TRIPLE Ultra Hero +1000 BP for this turn for each character you have with 「Flash Type」, 「Strong Type」, 「Miracle Type」, or 「Dynamic Type」.",Decker fought to free the Earth from the Sphere... and to free Agams from the vendetta that consumes him.,ULTRAMAN DECKER,,False,,Ultra Dual Sword,K2 Shoukai,https://img.ultraman-cardgame.com/images/card_details/09fd2682aab21bb29aeb684653243cc05e695821.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/7c108b28cf3baae7086e36ca4ef11364285ffa15.webp
855,BP,05,072,,BP05-072,U,,3,ARMED,Ultra Hero,7000,12000,16000,,,2022,Ultraman Decker,-,DECKER,"[SIN]《When this character enters play》You may swap the place of this character with one character with 「Flash Type」, 「Strong Type」, 「Miracle Type」, or 「Dynamic Type」 and is adjacent to the left or right of this character.","The Ultra Dual Sword could channel the powers of both Decker and Trigger, its original owner.",ULTRAMAN DECKER,,False,,Ultra Dual Sword,,https://img.ultraman-cardgame.com/images/card_details/c64535e877a34f55115e5559b5cb6d66ab3d076a.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/0d77602200cf15d2143c879c4439a54efb90113b.webp
856,BP,05,073,,BP05-073,C,,3,ARMED,Ultra Hero,9000,13000,17000,,,2022,Ultraman Decker,-,DECKER,,"In the hands of Strong Type, the Ultra Dual Sword becomes a blade that can cleave mountains down the middle!",ULTRAMAN DECKER,,False,,Ultra Dual Sword,,https://img.ultraman-cardgame.com/images/card_details/4a4af86e77aeae764642091a023f7ff9a9476588.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/c8f21a46e78764b37a3a60eab96ac81cd957fdcb.webp
904,BP,05,074,,BP05-074,RRRR,,4,BASIC,Ultra Hero,,12000,17000,20000,,2022,Ultraman Decker,-,DECKER,"(*This card cannot enter play as SINGLE, and cannot become SINGLE) [QUAD]《When this character enters play》You may reveal the top three cards of your deck, to put one level 3 or lower 『DECKER』 card from among them into play on top of one of your characters that is able to level up with it. Then, send the rest to your discard area.",The power of the future was not enough. Kanata had to show the universe the potential of the here and now.,ULTRAMAN DECKER,,False,,Dynamic Type,Chifuyu Yukishiro,https://img.ultraman-cardgame.com/images/card_details/f0bdd6c210f81e93c5d60d654f847f8b4e07aeff.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/84577c990522869876244fde16cfd25f8cb64627.webp
857,BP,05,075,,BP05-075,R,,1,BASIC,Ultra Hero,5000,9000,,,,2025,Ultraman Omega,-,OMEGA,"[SIN]While this character's battle opponent has TYPE 【POWER】 or 【DEVASTATION】 , this character's BP grade increases by 1.","From that distant star, he fell to Earth. How do those blue eyes see the world?",Ultraman Omega,,False,,,JUN YAMAGUCHI,https://img.ultraman-cardgame.com/images/card_details/d75ca5b2bd2fb8648f93f1642220a93043519fc3.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/f678ee08e026227ede6b882f9f3aa95286030df9.webp
858,BP,05,075,AP17,AP(17/20)BP05-075,AP,,1,BASIC,Ultra Hero,5000,9000,,,,2025,Ultraman Omega,-,OMEGA,"[SIN]While this character's battle opponent has TYPE 【POWER】 or 【DEVASTATION】 , this character's BP grade increases by 1.","As Omega and Zovaras clashed desperately, the final Meteokaiju descended...",Ultraman Omega,,False,,,toriyufu,https://img.ultraman-cardgame.com/images/card_details/1ecba009d3ad7dbf91b04ee5a06c1f6733b9a70e.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/497a3b81cee691900f7275565d773c24238e7f22.webp
859,BP,05,076,,BP05-076,U,,2,BASIC,Ultra Hero,7000,11000,13000,,,2025,Ultraman Omega,-,OMEGA,"[SIN][DBL]While this character's battle opponent has TYPE 【POWER】 , this character's BP grade increases by 1.",Omega could not hold back against Zovaras. To do so would doom everyone Sorato had come to know.,Ultraman Omega,,False,,,,https://img.ultraman-cardgame.com/images/card_details/15d0ddef5646847a10048557e1733f10c43e2c46.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/45032580d3986c7be8227cad9ea5f7af76ffadf6.webp
860,BP,05,077,,BP05-077,U,,2,ARMED,Ultra Hero,7000,10000,13000,,,2025,Ultraman Omega,-,OMEGA,[DBL]《When this character enters play》You may give one of your Ultra Hero with TYPE 【ARMED】 +1000 BP for this turn.,Trigaron's speed turned Omega into a force as fast as lightning!,Ultraman Omega,,False,,Trigaron Armor,,https://img.ultraman-cardgame.com/images/card_details/03d20f5b22fb6f01ee8782e0d7c23ea3bb01e986.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/44b140ac15b97e80e7e8c8c6dd695ee1d3c07ab4.webp
861,BP,05,078,,BP05-078,C,,2,POWER,Ultra Hero,6000,9000,,,,2025,Ultraman Omega,-,OMEGA,[SIN][DBL]《When this character enters play》You may give one of your characters TYPE 【SPEED】 for this turn.,Omega's Slugger is more than just a weapon — it allows Sorato to become an Ultra!,Ultraman Omega,,False,,Omega Slugger,,https://img.ultraman-cardgame.com/images/card_details/6872954515679586dd6e79f86a6fdf50ec611b85.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a903b6ff7ad2926930a7abf79a581c17ce00adcc.webp
862,BP,05,079,,BP05-079,RRR,,3,ARMED,Ultra Hero,8000,12000,17000,,,2025,Ultraman Omega,-,OMEGA,[TRP]《When this character enters play》You may put one level 6 Kaiju card with TYPE 【METEO】 from your discard area into play on top of one of your Kaiju that is able to level up with it.,"Channeling the power of Trigaron through the armor, Omega gains the silver tiger's speed and strength!",Ultraman Omega,,False,,Trigaron Armor,YAMAGUCHI BIRU,https://img.ultraman-cardgame.com/images/card_details/31cb0758a066e180e242d1ed5c7b7fc88d1ff248.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/3dc2b154f88adaff0f99760364ba85aedbcbe0ae.webp
863,BP,05,079,SP05,SP(05/05)BP05-079,SP,,3,ARMED,Ultra Hero,8000,12000,17000,,,2025,Ultraman Omega,-,OMEGA,[TRP]《When this character enters play》You may put one level 6 Kaiju card with TYPE 【METEO】 from your discard area into play on top of one of your Kaiju that is able to level up with it.,"Kosei fights alongside Omega through the Meteokaiju, so that he may stand beside his friend.",Ultraman Omega,,False,,Trigaron Armor,K2 Shoukai,https://img.ultraman-cardgame.com/images/card_details/d9615f5762f08d02ab44fcdaab0ebfd7369ad383.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/da162a78ad01765d6fdb720f050c97ec6d3403c9.webp
864,BP,05,080,,BP05-080,U,,3,ARMED,Ultra Hero,7000,12000,16000,,,2025,Ultraman Omega,-,OMEGA,"[DBL][TRP]《When this character enters play》You may put one scene card from your discard area into your hand. If you do, discard one card from your hand.",The Rekiness Armor lets Omega seal an opponent's movement with his telekinesis before striking the finishing blow!,Ultraman Omega,,False,,Rekiness Armor,,https://img.ultraman-cardgame.com/images/card_details/7000197ced20a95c584ab801b597341b73a208f3.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/50d9690fd2d7a9c1bb7c26228749cbf325e5279c.webp
865,BP,05,081,,BP05-081,C,,3,SPEED,Ultra Hero,9000,13000,17000,,,2025,Ultraman Omega,-,OMEGA,,A missing past cannot hold you back from what you need to do today.,Ultraman Omega,,False,,,,https://img.ultraman-cardgame.com/images/card_details/194fb2cdbd8d1276838d6db068c5b9a439564ca4.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/0c0037ff2f658edf90b1f9f27dcf193492e76a74.webp
905,BP,05,082,,BP05-082,RRRR,,4,ARMED,Ultra Hero,,13000,17000,20000,,2025,Ultraman Omega,-,OMEGA,"(*This card cannot enter play as SINGLE, and cannot become SINGLE) [QUAD]《When this character enters play》You may put one level 5 Kaiju card with TYPE 【METEO】 and one level 6 Kaiju card with TYPE 【METEO】 from your discard area into your hand.","Valgeness's power was beyond what anyone had expected — and when merged with Omega, its flames would become a beacon of protection.",Ultraman Omega,,False,,Valgeness Armor,Mikihiko Tabata,https://img.ultraman-cardgame.com/images/card_details/00570453694c4150d6078b881c494f4834804571.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a1857738d6b42b0685ad5a92d598464c7c0b5599.webp
866,BP,05,083,,BP05-083,C,,6,DEVASTATION,Kaiju,8000,15000,,,,1996,The Evil God Gatanothor,-,GATANOTHOR,[SIN]《When this character enters play》You may change one TYPE of the battle opponent of one of your Kaiju to 【SPEED】 or 【ARMED】 for this turn.,"Rising from the abyss, the destroyer of ancient humanity returned to put an end to the modern age.",ULTRAMAN TIGA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/67faa3ac231bfca7cce835be5f61b2b8a1c24a8f.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/9d3130c7624eda3bfc39de8335e6c2457f734c75.webp
867,BP,05,084,,BP05-084,RR,,7,DEVASTATION,Kaiju,10000,17000,19000,,7000,1996,The Evil God Gatanothor,-,GATANOTHOR,"[SIN][DBL][TRP]While an opponent has a level 4 Ultra Hero, this character's BP becomes EXTRA.","With a bellow, the power of darkness extinguished Tiga's light.",ULTRAMAN TIGA,,False,,,nukadokomogera,https://img.ultraman-cardgame.com/images/card_details/e87c7fba915285303aa6df9273dcf17e609baed8.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/2eb341f1bf43255afb0e73e391320533374f9eb2.webp
868,BP,05,084,AP18,AP(18/20)BP05-084,AP,,7,DEVASTATION,Kaiju,10000,17000,19000,,7000,1996,The Evil God Gatanothor,-,GATANOTHOR,"[SIN][DBL][TRP]While an opponent has a level 4 Ultra Hero, this character's BP becomes EXTRA.","In the ruins of R'lyeh, it waited, biding its time to plunge the world in darkness again.",ULTRAMAN TIGA,,False,,,tatsuya,https://img.ultraman-cardgame.com/images/card_details/af7bcd3e0d4efeadd1fd6b060858c2e67765c697.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/dfe27e78e58edaa5a987a7f372be73d13a1352e9.webp
869,BP,05,085,,BP05-085,C,,5,HAZARD,Kaiju,8000,13000,,,5000,1997,Imit-Ultraman Dyna,-,GREGORE,"[SIN]While this character's battle opponent has TYPE 【SPEED】 , this character's BP becomes EXTRA.","Dyna always fought flashily, but this one felt... showy.",ULTRAMAN DYNA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/2d8a3b361dfdd584f7bb94be0411f7775071bfe1.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/491e73d77d4ba6e34e7621a7c8eb1da5c4e7b3e7.webp
870,BP,05,086,,BP05-086,U,,6,HAZARD,Kaiju,10000,15000,,,,1997,Imit-Ultraman Dyna,-,GREGORE,[SIN][DBL]《When this character enters play》You may give one of your opponent's Ultra Hero with TYPE 【BASIC】 -1000 BP for this turn. (*BP will not be less than 0),"He came not to replace Dyna, but to prove himself stronger in a fight!",ULTRAMAN DYNA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/380f8b83de439e511b4a4b713d04b28b944f0dd5.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/3dba9ee9935eb18c2f35c1e84477b9fb1aee510c.webp
871,BP,05,087,,BP05-087,C,,6,HAZARD,Kaiju,11000,17000,,,6000,1998,The Space Combat Beast Super C.O.V.,-,C.O.V.,"[SIN][DBL]While this character's battle opponent has TYPE 【POWER】 or 【ARMED】 , this character's BP becomes EXTRA.",It doesn't matter where it comes from — a creature in a new and unfamiliar place will go wild from confusion.,ULTRAMAN GAIA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/ba2facc3e3bea637fbb797a7e8842cf15816c1d3.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/603d02d3c50547c6599490012d948f00ed538ec0.webp
872,BP,05,088,,BP05-088,C,,6,HAZARD,Kaiju,11000,16000,,,8000,1998,The Space Thunder Beast Super Pazuzu,-,PAZUZU,"[SIN][DBL]While this character's battle opponent has TYPE 【SPEED】 or 【ARMED】 , this character's BP becomes EXTRA.","Pazuzu and C.O.V. were revived by the wormhole's energy, consuming it to strengthen themselves!",ULTRAMAN GAIA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/4b9ff8d21c5d74cde8a71e6f990cd88069b7b830.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/2f93ef89655ae751ea8618f06cbaaafbf44d6f32.webp
873,BP,05,089,,BP05-089,C,,6,HAZARD,Kaiju,10000,17000,,,8000,2004,The Fiendish-Type Beast Kutuura,-,KUTUURA,"[SIN][DBL]While this character's battle opponent has TYPE 【POWER】 or 【SPEED】 , this character's BP becomes EXTRA.","In the Land of Death, Kutuura lay in wait for Nexus at Mephisto's command.",ULTRAMAN NEXUS,,False,,,,https://img.ultraman-cardgame.com/images/card_details/02fff0bfb3ca85e06c5c116ce22dc52c22b90c17.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/c82e10728aca31104b03c8870bad560dad953747.webp
874,BP,05,090,,BP05-090,C,,5,BASIC,Kaiju,8000,13000,,,5000,2014,The Underground Sacred Beast Shepherdon,-,SHEPHERDON,"[SIN]While this character's battle opponent has TYPE 【POWER】 , this character's BP becomes EXTRA.","As the guardian beast of the Victorian Civilization, the purest source of Victorium came from Shepherdon's own body.",ULTRAMAN GINGA S,,False,,,,https://img.ultraman-cardgame.com/images/card_details/f9c36ed9b2c66d6143ab7436264bf30f1ae064b1.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/382fde4ada39099e0a4510adda7d9114d323878a.webp
875,BP,05,091,,BP05-091,U,,6,BASIC,Kaiju,10000,15000,,,,2014,The Underground Sacred Beast Shepherdon,-,SHEPHERDON,[SIN][DBL]《When this character enters play》You may give one of your characters with TYPE 【ARMED】 +1000 BP for this turn.,Shepherdon was more than a Kaiju. It was a friend to the Victorians it protected.,ULTRAMAN GINGA S,,False,,,,https://img.ultraman-cardgame.com/images/card_details/3b30abb5ccf3bf3a95bc89bb6d6690ab694a405a.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/b02080d04f8da6ce105140fd00daae0f33833d8c.webp
876,BP,05,092,,BP05-092,R,,5,BASIC,Kaiju,5000,9000,,,,2016,The Infinite Phantom Jugglus Juggler,-,JUGGLUS JUGGLER,"[SIN]While this character's battle opponent has TYPE 【POWER】 or 【HAZARD】 , this character's BP grade increases by 1.","His blade glows red, as if anticipating the blood he would shed.",ULTRAMAN ORB,,False,,,SENNSU,https://img.ultraman-cardgame.com/images/card_details/56e81a50dc577be22df8ca8b224c3c58fe39ddee.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/1aa23938ef425c9ec4b4fe3f00592831bb1a470f.webp
877,BP,05,093,,BP05-093,R,,6,BASIC,Kaiju,6000,9000,13000,,,2016,The Infinite Phantom Jugglus Juggler,-,JUGGLUS JUGGLER,"[DBL]《When this character enters play》You may reveal the top three cards of your deck, to put one level 7 「Zeppandon」 card from among them into your hand. Then, send the rest to your discard area. If you put a card into your hand with this effect, discard one card from your hand.","Juggler raised his blade, summoning the remnants of Orochi. It was time for the final act to begin.",ULTRAMAN ORB,,False,,,KEN NAGASAKI,https://img.ultraman-cardgame.com/images/card_details/01a5a3cb5325da00d79e74d19746b7df58d04b84.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/f30eccdccaf358bb05e14bd105b26e6001a0ed24.webp
878,BP,05,093,AP19,AP(19/20)BP05-093,AP,,6,BASIC,Kaiju,6000,9000,13000,,,2016,The Infinite Phantom Jugglus Juggler,-,JUGGLUS JUGGLER,"[DBL]《When this character enters play》You may reveal the top three cards of your deck, to put one level 7 「Zeppandon」 card from among them into your hand. Then, send the rest to your discard area. If you put a card into your hand with this effect, discard one card from your hand.",Why couldn't he win just once?! WHY?!,ULTRAMAN ORB,,False,,,YAMAGUCHI BIRU,https://img.ultraman-cardgame.com/images/card_details/45b3e8268b8146489048e6590c48036cd9b24de5.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/897db6e3712efef722f2f16a34b2905333c06473.webp
879,BP,05,094,,BP05-094,U,,6,SPEED,Kaiju,7000,10000,14000,,,2016,The Infinite Phantom Jugglus Juggler,-,JUGGLUS JUGGLER,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 , this character's BP grade increases by 1.",Juggler couldn't help but smile as he watched Gai struggle with Belial's dark power.,ULTRAMAN ORB,,False,,,,https://img.ultraman-cardgame.com/images/card_details/6670ed67f69abdaa5750206a01bc082b1ceb96e7.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/1dcca10fea204f1b62a4996bfc8b34ef67a84c99.webp
880,BP,05,095,,BP05-095,C,,6,POWER,Kaiju,5000,12000,,,,2016,The Infinite Phantom Jugglus Juggler,-,JUGGLUS JUGGLER,,Anyone could fall to darkness. Being a hero doesn't mean you're incorruptible.,ULTRAMAN ORB,,False,,,,https://img.ultraman-cardgame.com/images/card_details/67c6ddc59b5c79151cbe16ed73e0ab39d992d39b.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/15b0c9d526289ee03f8f53d2971fdf85d1eb207b.webp
881,BP,05,096,,BP05-096,RR,,7,HAZARD,Kaiju,7000,13000,17000,,,2016,The Combined Lord Monster Zeppandon,-,JUGGLUS JUGGLER,"[TRP][Activate](Once per turn)Choose one card at random from an opponent’s hand and reveal it → If the revealed card is an Ultra Hero card, give this character +1000 BP for this turn. Otherwise, each player draws a card. (*The revealed card returns to its previous state)","Juggler was determined to be Gai's opposite — If Orb was going to channel the power of great heroes, then he would use the strength of the beasts that defeated them.",ULTRAMAN ORB,,False,,,Kou1,https://img.ultraman-cardgame.com/images/card_details/06e7a5198235fbe4a1d834190aaebcf2bbf28dee.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/24032da0720b669b584df22f2059a49e0b78abaf.webp
882,BP,05,096,AP20,AP(20/20)BP05-096,AP,,7,HAZARD,Kaiju,7000,13000,17000,,,2016,The Combined Lord Monster Zeppandon,-,JUGGLUS JUGGLER,"[TRP][Activate](Once per turn)Choose one card at random from an opponent’s hand and reveal it → If the revealed card is an Ultra Hero card, give this character +1000 BP for this turn. Otherwise, each player draws a card. (*The revealed card returns to its previous state)","No matter what attacks Orb threw at the Combined Lord Monster, Zeppandon simply batted them away!",ULTRAMAN ORB,,False,,,Kouki Tajima,https://img.ultraman-cardgame.com/images/card_details/997c1d2ead5ef7536201b193c720e8ce1d0d9176.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/69a89f925c5d19dd7a322ea08d8ed9e8e59eb88c.webp
883,BP,05,097,,BP05-097,U,,7,HAZARD,Kaiju,7000,13000,16000,,,2016,The Combined Lord Monster Zeppandon,-,JUGGLUS JUGGLER,"[DBL]《When this character enters play》If an opponent has more cards in their hand than you, you may give one of your 『JUGGLUS JUGGLER』 +2000 BP for this turn.",The flames Zeppandon walked through were mere embers compared to the pyres of hatred in Juggler's heart.,ULTRAMAN ORB,,False,,,,https://img.ultraman-cardgame.com/images/card_details/df2e3e9e1aa6475e39da2f176204efc894ac3e92.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a048b7be90c2ea328aac111b84c6b11cd1f1718b.webp
884,BP,05,098,,BP05-098,C,,7,HAZARD,Kaiju,6000,13000,16000,,,2016,The Combined Lord Monster Zeppandon,-,JUGGLUS JUGGLER,[SIN][DBL][TRP]《When this character enters play》You may give one of your characters TYPE 【ARMED】 for this turn.,"Pandon, Zetton, and the remains of Maga-Orochi turned Juggler into a terror without equal.",ULTRAMAN ORB,,False,,,,https://img.ultraman-cardgame.com/images/card_details/532d0afb41e52c273657329e4da02584535080e6.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a724dcf03e075f0c53070f191e012b4f15e040d5.webp
885,BP,05,099,,BP05-099,C,,6,HAZARD,Kaiju,10000,17000,,,8000,2022,The Cybernetic Golem Terraphaser,-,TERRAPHASER,"[SIN][DBL]While this character's battle opponent has TYPE 【BASIC】 or 【ARMED】 , this character's BP becomes EXTRA.","The Ark Signal appeared on the robot's head, and HANE2 lost control. Agams's revenge had begun.",ULTRAMAN DECKER,,False,,Ark Signal,,https://img.ultraman-cardgame.com/images/card_details/359cd2d782f4674f1f9aa6c632daf2d67ab67b8a.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/958ee8286527eb93461bc171b25c52086ffde609.webp
886,BP,05,100,,BP05-100,C,,6,METEO,Kaiju,10000,16000,,,8000,2025,The Meteokaiju Trigaron,-,TRIGARON,"[SIN][DBL]While this character's battle opponent has TYPE 【POWER】 , this character's BP becomes EXTRA.","Empowered by its bond with Kosei, Trigaron rushes forward with the speed of a meteor!",Ultraman Omega,,False,,,,https://img.ultraman-cardgame.com/images/card_details/49793a0ab04e9d01d0bf7b31c4187eb5cd821070.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/4a67cc003d6f2b71138e09eac3e67d123965dd4d.webp
887,BP,05,101,,BP05-101,C,,5,METEO,Kaiju,8000,13000,,,5000,2025,The Meteokaiju Valgeness,-,VALGENESS,"[SIN][DBL]While this character's battle opponent has TYPE 【POWER】 , this character's BP becomes EXTRA.","With a burst of flames, a new Meteokaiju emerged — like a phoenix!",Ultraman Omega,,False,,,,https://img.ultraman-cardgame.com/images/card_details/a3b0bbcd00e3502acbf309f1937297119293f857.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/618a2ccb574f2c73cbfd7feab4268fc7dd520291.webp
888,BP,05,102,,BP05-102,C,,6,METEO,Kaiju,10000,16000,,,8000,2025,The Meteokaiju Valgeness,-,VALGENESS,"[SIN][DBL]While this character's battle opponent has TYPE 【ARMED】 , this character's BP becomes EXTRA.",Valgeness is an existence beyond the other Meteokaiju.,Ultraman Omega,,False,,,,https://img.ultraman-cardgame.com/images/card_details/f661bcabdfc13cf8986a450f70561c395a7ea1af.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/1f4e39dd078fe020c85337ac5449e62abf28f6c9.webp
889,BP,05,103,,BP05-103,RR,,6,METEO,Kaiju,9000,13000,17000,,,2025,The Meteokaiju Valgeness,-,VALGENESS,"[DBL]《When this character enters play》If you have a TRIPLE or QUAD 『OMEGA』 , you may give the battle opponent of one of your Kaiju with TYPE 【METEO】 , or the battle opponent of one of your 『OMEGA』 , a BP grade decrease by 1 for this turn.",Even nature obeys the will of the greatest of the Meteokaiju.,Ultraman Omega,,False,,,KEN NAGASAKI,https://img.ultraman-cardgame.com/images/card_details/2987d2e4c79f05635af134a33693b481ef954293.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/1bbcc881ee44b2ceb2541702338bdd2c851c1920.webp
890,BP,05,104,,BP05-104,C,,6,HAZARD,Kaiju,10000,16000,,,8000,2025,The Annihilative Genesis Being Zovaras,-,ZOVARAS,"[SIN][DBL]While this character's battle opponent has TYPE 【BASIC】 , this character's BP becomes EXTRA.","To regain the homeland he lost, Omega would have to die.",Ultraman Omega,,False,,,,https://img.ultraman-cardgame.com/images/card_details/00d94906e1a100b753b154c72a2b15c1e35d2cc3.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/e4f13cbb8136bb67f2a44b85b6f3eb4d84a0cf17.webp
891,BP,05,105,,BP05-105,U,3,,,Scene,,,,,,,To the Shining Ones,-,-,"[Activate](Once per turn)No cost → Give two of your level 3 or higher 『TIGA』 +2000 BP each for this turn, and give one Kaiju with TYPE 【DEVASTATION】 that is the battle opponent of one of your 『TIGA』 -2000 BP for this turn. Then, send this scene to its owner's discard area. (*BP will not be less than 0)",,ULTRAMAN TIGA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/538b89c0de928dafbbda3f301b0601bbcf2249c5.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/d745de65646740dace509bf6b092959d5d251bf6.webp
892,BP,05,106,,BP05-106,C,1,,,Scene,,,,,,,Deadly Fight! Dyna vs Dyna,-,-,《When this scene enters play》You may give one of your 『DYNA』 +2000 BP for this turn.,,ULTRAMAN DYNA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/40edad0876e8782f0ab98441e41b97683dd84abf.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/051b351f5bcc2cb7b40a017e84576bb03645aa53.webp
893,BP,05,107,,BP05-107,C,4,,,Scene,,,,,,,The Attack of the Space Monsters,-,-,"[Activate](Once per turn)No cost → If the top card of a TRIPLE character (*yours or your opponent's) was put into its owner's hand this turn, give one of your 『GAIA』 and one of your 『AGUL』 each a BP grade increase by 1 for this turn.",,ULTRAMAN GAIA,,False,,,,https://img.ultraman-cardgame.com/images/card_details/ef25805b7422348d9abd6107e0263b375bd5f314.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/4b547a089b806cf160402ecb0848f7a17c4c3a53.webp
